,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
143,52,668,65,100,35,22,22,54,54,0,22,22,54,54,0,0.005820484019197386,0.020252561353347628,60,84,24,2,3,3,2,6,99,13,37
144,88,294,57,96,39,174,174,72,72,0,88,94,57,58,1,0.008305252050784574,0.008747744987916539,62,65,3,3,2,2,10,4,0,38,42
145,24,126,49,85,36,28,28,45,45,0,24,28,49,49,0,0.003165526396405596,0.004220701861874128,48,51,3,4,3,3,3,6,58,70,64
146,0,616,1,100,99,0,30,1,34,33,0,16,1,36,35,0.0,0.0032336022328874367,1,48,47,2,-1,3,6,0,48,87,46
147,22,638,41,100,59,34,56,37,43,6,22,56,41,57,16,0.0008169100377820892,0.010007147962830594,36,69,33,2,3,3,6,2,34,63,20
148,0,102,1,78,77,0,8,1,27,26,0,4,1,31,30,0.0,0.0006126825283365669,1,35,34,4,-1,5,6,0,69,80,51
149,16,16,44,44,0,22,22,47,47,0,16,16,47,47,0,0.0030974505599237552,0.0030974505599237552,50,50,0,-1,3,3,2,2,89,94,45
150,132,132,86,86,0,70,70,63,63,0,70,70,66,66,0,0.012185574730249497,0.012185574730249497,72,72,0,-1,3,3,5,14,49,14,97
151,158,158,85,85,0,192,192,93,93,0,192,192,94,94,0,0.01929949964260186,0.01929949964260186,81,81,0,-1,2,2,9,12,23,37,85
152,92,1732,67,100,33,134,158,86,92,6,92,158,67,92,25,0.009496579189216788,0.036624800027230335,67,93,26,1,2,2,6,4,44,72,30
153,126,332,77,96,19,158,158,74,74,0,126,132,78,79,1,0.011096361346540046,0.011675005956635693,70,75,5,3,2,2,9,8,28,17,71
154,158,364,90,100,10,72,72,80,80,0,72,72,80,80,0,0.02365635317743967,0.024881718234112803,88,88,0,3,2,2,3,20,76,23,53
155,100,100,72,72,0,100,100,71,71,0,100,100,75,75,0,0.043704687021341775,0.056673133871132444,93,98,5,3,1,1,6,17,32,6,15
156,70,686,62,100,38,80,80,66,66,0,70,80,64,67,3,0.005241839409101739,0.0141938119064638,58,76,18,2,3,3,5,6,63,28,27
157,8,8,36,36,0,12,12,32,32,0,8,8,36,36,0,0.0004084550188910446,0.0004084550188910446,34,34,0,-1,4,4,2,2,91,56,69
158,38,244,46,93,47,100,100,45,45,0,38,50,46,50,4,0.0012594029749140542,0.002552843868069029,39,47,8,3,3,3,10,4,0,64,51
159,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,35,92,80
160,8,624,37,100,63,20,44,34,48,14,8,44,37,54,17,0.0005786446100956465,0.031451036454610434,36,90,54,2,4,3,4,2,79,63,3
161,40,40,48,48,0,80,80,45,45,0,40,40,48,48,0,0.0034037918240920387,0.0034037918240920387,48,48,0,-1,2,2,9,1,31,71,79
162,66,272,61,95,34,86,86,63,63,0,66,86,62,67,5,0.008611593314952858,0.00970080669866231,67,69,2,3,3,3,6,7,34,21,64
163,339,545,98,100,2,144,144,88,88,0,144,144,89,89,0,0.03516116954287076,0.03642057251778481,93,93,0,3,2,2,6,29,34,11,43
164,38,244,52,95,43,56,56,47,47,0,36,56,52,59,7,0.0035739814152966403,0.0088498587426393,52,67,15,3,3,3,6,6,32,41,34
165,420,1036,98,100,2,320,320,95,95,0,320,320,96,96,0,0.03465060076925695,0.05200993907212635,93,99,6,2,2,2,14,27,17,10,16
166,6,6,33,33,0,8,8,33,33,0,6,6,33,33,0,0.00037441710065012424,0.00037441710065012424,35,35,0,-1,4,4,2,1,90,49,50
167,54,156,57,84,27,66,66,51,51,0,54,56,57,57,0,0.006739507811702236,0.006909697402906838,62,62,0,4,3,3,6,4,34,38,88
168,0,616,1,100,99,0,22,1,51,50,0,22,1,53,52,0.0,0.0141938119064638,1,76,75,2,-1,3,2,0,86,85,24
169,6,6,31,31,0,24,24,33,33,0,6,6,31,31,0,0.0002042275094455223,0.0002042275094455223,31,31,0,-1,4,4,6,1,48,4,67
170,8,8,38,38,0,24,24,40,40,0,8,8,38,38,0,0.00037441710065012424,0.00037441710065012424,35,35,0,-1,4,4,4,2,47,56,50
171,22,1662,43,100,57,94,162,39,67,28,22,162,43,86,43,0.0013615167296368155,0.029034344259505088,41,90,49,1,3,2,13,2,13,74,1
172,2,618,29,100,71,6,34,29,46,17,2,34,29,54,25,3.4037918240920386e-05,0.010824058000612683,27,72,45,2,5,3,4,1,77,95,19
173,16,16,37,37,0,58,58,43,43,0,16,16,37,37,0,0.0020422750944552232,0.0020422750944552232,45,45,0,-1,3,3,8,2,21,94,40
174,0,101,1,74,73,0,6,1,24,23,0,1,1,24,23,0.0,6.807583648184077e-05,1,26,25,5,-1,6,6,0,59,84,78
175,100,100,62,62,0,100,100,48,48,0,100,100,62,62,0,0.06273188331801627,0.08124851084107695,99,100,1,2,1,1,10,40,11,3,1
176,92,708,69,100,31,64,74,61,70,9,64,74,64,71,7,0.012662105585622384,0.019639878825011062,74,82,8,2,2,2,5,8,49,8,77
177,6,6,34,34,0,16,16,34,34,0,6,6,34,34,0,0.0004084550188910446,0.0004084550188910446,36,36,0,-1,4,4,4,1,77,88,36
178,138,240,87,97,10,48,48,70,70,0,48,48,72,72,0,0.013138636440995268,0.015317063208414174,76,77,1,4,3,3,3,14,94,32,75
179,91,193,65,89,24,122,122,74,74,0,91,93,65,66,1,0.008237176214302734,0.008407365805507334,65,65,0,4,2,2,8,8,57,44,60
180,22,123,47,81,34,44,44,48,48,0,22,23,47,51,4,0.0014295925661186562,0.0014295925661186562,43,43,0,6,3,3,4,2,47,61,78
181,230,846,95,100,5,64,64,68,68,0,64,64,71,71,0,0.03226794649239253,0.038394771775758195,91,94,3,2,3,3,4,29,72,0,44
182,270,1870,91,100,9,286,286,88,88,0,270,286,91,93,2,0.0212056230640934,0.04894652643044351,81,97,16,1,2,2,14,18,25,30,1
183,100,100,71,71,0,100,100,79,79,0,100,100,79,79,0,0.049048640185166276,0.06092787365124749,98,100,2,3,1,1,5,18,70,30,6
184,490,490,100,100,0,208,208,99,99,0,208,208,99,99,0,0.05340549372000408,0.05340549372000408,99,99,0,-1,2,2,7,36,43,2,93
185,26,1666,50,100,50,40,84,44,74,30,26,84,50,75,25,0.00353994349705572,0.03628442084482113,50,93,43,1,3,2,5,6,70,73,30
186,64,64,60,60,0,76,76,59,59,0,64,64,61,61,0,0.006092787365124749,0.006092787365124749,58,58,0,-1,3,3,6,4,34,72,82
187,214,315,90,95,5,174,174,76,76,0,174,174,86,86,0,0.019980258007420267,0.020082371762143027,82,82,0,5,2,2,10,17,18,6,58
188,6,6,30,30,0,15,15,30,30,0,6,6,30,30,0,0.0,0.0,1,1,0,-1,4,4,6,1,41,95,82
189,0,616,1,100,99,0,22,1,46,45,0,22,1,51,50,0.0,0.02198849518363457,1,85,84,2,-1,3,2,1,89,50,7
190,6,212,30,94,64,12,24,30,35,5,6,24,30,46,16,0.00034037918240920387,0.005207801490860819,33,54,21,3,4,4,4,1,53,4,13
191,207,413,93,99,6,152,152,95,95,0,152,152,95,95,0,0.028455699649409444,0.029919330133769018,90,90,0,3,2,2,5,20,63,23,54
192,12,12,36,36,0,22,22,34,34,0,12,12,36,36,0,0.0006807583648184077,0.0006807583648184077,36,36,0,-1,4,4,5,2,70,63,92
193,405,405,98,98,0,184,184,94,94,0,184,184,94,94,0,0.035739814152966405,0.035739814152966405,93,93,0,-1,2,2,7,29,43,1,80
194,0,616,1,100,99,0,30,1,31,30,0,16,1,32,31,0.0,0.002484768031587188,1,45,44,2,-1,3,9,0,31,99,71
195,0,102,1,82,81,0,6,1,28,27,0,2,1,28,27,0.0,0.0008169100377820892,1,38,37,4,-1,5,3,0,75,86,71
196,36,652,45,100,55,132,162,58,60,2,36,100,45,56,11,0.004050512270669526,0.010994247591817285,52,70,18,2,3,3,16,6,4,73,38
197,43,249,64,100,36,22,22,55,55,0,22,22,57,57,0,0.006943735321147759,0.019367575479083698,63,83,20,3,3,3,2,8,97,44,30
198,232,832,95,100,5,64,64,68,68,0,64,64,70,70,0,0.02995336805200994,0.047993464719697745,90,96,6,2,3,3,4,27,78,10,7
199,80,181,72,90,18,88,88,80,80,0,88,88,81,81,0,0.014295925661186561,0.014295925661186561,78,78,0,5,2,2,4,5,77,25,95
200,94,300,60,96,36,92,92,50,50,0,92,92,61,61,0,0.008986010415602982,0.01405766023350012,64,77,13,3,3,3,7,9,46,27,34
201,72,1712,57,100,43,144,212,63,76,13,72,212,57,89,32,0.0020082371762143027,0.03134892269988768,43,92,49,1,2,2,14,3,17,43,0
202,226,826,92,100,8,228,228,77,77,0,226,228,92,92,0,0.013138636440995268,0.01667857993805099,71,77,6,2,2,2,15,14,7,32,13
203,1,207,25,92,67,3,18,25,37,12,1,18,25,46,21,3.4037918240920386e-05,0.003608019333537561,29,53,24,3,6,4,3,1,76,68,28
204,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,10,81,85
205,299,899,100,100,0,72,72,85,85,0,72,72,85,85,0,0.04663194799006093,0.05997481194050172,97,99,2,2,2,2,3,36,60,2,18
206,0,616,1,100,99,0,22,1,48,47,0,22,1,49,48,0.0,0.026889955410327106,1,90,89,2,-1,3,2,0,93,80,3
207,100,100,73,73,0,100,100,87,87,0,100,100,87,87,0,0.057149664726505324,0.07501957180298853,99,100,1,2,1,1,4,16,79,18,9
208,0,616,1,100,99,0,46,1,36,35,0,46,1,51,50,0.0,0.007011811157629599,1,60,59,2,-1,3,6,0,40,98,24
209,62,678,52,100,48,174,184,67,70,3,62,124,52,75,23,0.0031314884781646754,0.00888389666088022,50,62,12,2,2,2,15,6,7,70,24
210,0,206,1,89,88,0,26,1,29,28,0,8,1,33,32,0.0,0.0011232513019503727,1,38,37,3,-1,4,12,0,3,80,74
211,297,503,97,100,3,96,96,72,72,0,96,96,72,72,0,0.03100854351747847,0.033765614894993023,92,95,3,3,3,3,6,29,71,1,54
212,100,100,58,58,0,100,100,38,38,0,100,100,58,58,0,0.016133973246196264,0.028830116750059566,78,91,13,2,1,1,16,8,9,57,37
213,0,616,1,100,99,0,24,1,41,40,0,16,1,41,40,0.0,0.005922597773920147,1,57,56,2,-1,3,3,0,75,86,90
214,206,206,89,89,0,128,128,67,67,0,128,128,79,79,0,0.01783586915824228,0.01783586915824228,81,81,0,-1,3,3,8,16,15,12,79
215,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,10,92,67
216,56,672,52,100,48,76,90,54,66,12,56,90,52,68,16,0.004595118962524252,0.02491575615235372,50,88,38,2,2,2,6,2,56,74,0
217,176,176,93,93,0,56,56,85,85,0,56,56,85,85,0,0.03094046768099663,0.03094046768099663,92,92,0,-1,2,2,2,17,90,6,96
218,42,1642,52,100,48,112,112,63,63,0,42,112,52,77,25,0.003165526396405596,0.032370060247115286,49,92,43,1,2,2,8,2,15,61,9
219,2,208,27,92,65,9,19,27,29,2,2,8,27,35,8,3.4037918240920386e-05,0.00088498587426393,26,38,12,3,5,4,8,1,21,78,71
220,410,410,98,98,0,144,144,89,89,0,144,144,90,90,0,0.031076619353960312,0.031076619353960312,90,90,0,-1,2,2,6,29,40,1,67
221,58,58,59,59,0,28,28,48,48,0,28,28,54,54,0,0.007760645358929848,0.007760645358929848,60,60,0,-1,3,3,3,7,55,48,96
222,22,22,38,38,0,70,70,40,40,0,22,22,38,38,0,0.001497668402600497,0.001497668402600497,41,41,0,-1,3,3,10,2,0,83,82
223,160,261,93,98,5,32,32,63,63,0,32,32,64,64,0,0.0283876238129276,0.028591851322373123,90,92,2,5,3,3,2,27,86,10,55
224,100,100,67,67,0,100,100,70,70,0,100,100,71,71,0,0.058443105619660304,0.06099594948772933,99,99,0,3,1,1,6,29,74,11,75
225,100,100,59,59,0,100,100,46,46,0,100,100,59,59,0,0.050444194833044013,0.050444194833044013,100,100,0,-1,1,1,11,29,5,11,89
