,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
652,22,638,41.5,100.0,58.5,70,78,37.5,40.0,2.5,22,46,41.5,49.0,7.5,0.0005446066918547262,0.003880322679464924,35.0,50.0,15.0,2,11,2,33,63,70
653,16,632,35.0,100.0,65.0,42,76,37.0,54.5,17.5,16,76,35.0,59.0,24.0,0.0032336022328874367,0.01497668402600497,45.0,77.0,32.0,2,6,3,51,46,8
654,188,394,94.0,99.0,5.0,72,72,86.0,86.0,0.0,72,72,86.0,86.0,0.0,0.02481364239763096,0.03424214575036591,88.0,94.0,6.0,3,3,19,66,15,19
655,100,100,69.0,69.0,0.0,100,100,61.0,61.0,0.0,100,100,70.0,70.0,0.0,0.04435140746791926,0.05088668777017598,97.0,97.0,0.0,3,8,20,10,23,8
656,16,222,38.0,91.0,53.0,138,138,61.0,61.0,0.0,16,25,38.0,46.0,8.0,0.003880322679464924,0.005173763572619898,52.0,54.0,2.0,3,13,1,13,90,54
657,150,1750,82.0,100.0,18.0,198,198,85.5,85.5,0.0,150,198,82.5,90.5,8.0,0.01055175465468532,0.043908914530787296,73.0,95.0,22.0,1,10,7,0,48,3
658,128,744,81.0,100.0,19.0,200,200,84.0,84.0,0.0,128,146,81.0,83.0,2.0,0.01242384015793594,0.01415977398822288,71.0,73.0,2.0,2,11,9,33,27,74
659,22,1662,38.5,100.0,61.5,56,90,42.0,61.5,19.5,22,62,38.5,55.5,17.0,0.0014295925661186562,0.01943565131556554,39.0,81.0,42.0,1,6,2,51,61,55
660,232,334,91.0,96.0,5.0,320,320,94.0,94.0,0.0,232,234,91.0,91.0,0.0,0.019571802988529223,0.019639878825011062,80.0,80.0,0.0,4,14,12,16,37,65
661,260,876,92.5,100.0,7.5,304,314,87.5,88.5,1.0,260,314,92.5,97.0,4.5,0.014023622315259198,0.027026107083290785,72.0,88.0,16.0,2,17,14,20,32,37
662,76,282,68.0,96.0,28.0,54,54,61.5,61.5,0.0,54,54,64.5,64.5,0.0,0.006875659484665918,0.009326389598012186,60.0,66.0,6.0,3,4,6,84,13,41
663,132,132,83.0,83.0,0.0,154,154,74.0,74.0,0.0,132,132,82.5,82.5,0.0,0.013547091459886314,0.013547091459886314,76.0,76.0,0.0,-1,10,8,36,8,69
664,0,616,13.0,100.0,87.0,0,37,13.0,33.0,20.0,0,22,13.0,43.0,30.0,0.0,0.002314578440382586,13.5,46.0,32.5,2,10,1,1,50,75
665,0,206,13.0,89.0,76.0,0,40,13.0,35.0,22.0,0,22,13.0,45.5,32.5,0.0,0.003369753905851118,13.5,50.0,36.5,3,8,0,57,98,47
666,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0.0,0.0,14.0,14.0,0.0,-1,6,0,69,91,40
667,126,228,92.0,99.5,7.5,32,32,76.5,76.5,0.0,32,32,77.0,77.0,0.0,0.026651689982640663,0.028659927158854966,88.0,90.0,2.0,4,2,22,97,9,47
668,0,206,13.0,88.0,75.0,0,40,13.0,33.0,20.0,0,15,13.0,33.0,20.0,0.0,0.0033016780693692774,14.0,51.0,37.0,3,10,0,11,96,73
669,240,240,94.0,94.0,0.0,88,88,85.0,85.0,0.0,88,88,85.5,85.5,0.0,0.030327785152660065,0.030327785152660065,89.0,89.0,0.0,-1,4,22,77,9,84
670,100,100,75.0,75.0,0.0,100,100,57.5,57.5,0.0,100,100,75.0,75.0,0.0,0.02743456210218183,0.04983151230470744,87.0,98.0,11.0,2,9,9,31,27,10
671,19,225,47.0,97.0,50.0,18,18,38.5,38.5,0.0,18,18,47.0,47.0,0.0,0.003199564314646516,0.0042547397801150485,49.0,52.0,3.0,3,3,4,94,22,78
672,172,772,87.5,100.0,12.5,120,120,92.5,92.5,0.0,120,120,92.5,92.5,0.0,0.02757071377514551,0.041764525681609314,87.0,97.0,10.0,2,6,19,69,15,9
673,100,100,64.5,64.5,0.0,100,100,51.5,51.5,0.0,100,100,64.5,64.5,0.0,0.02719629667449539,0.034105994077402224,88.0,93.0,5.0,2,11,8,5,20,21
674,42,658,50.5,100.0,49.5,114,180,58.0,69.5,11.5,42,159,51.0,81.0,30.0,0.0008169100377820892,0.016236087000919025,36.0,79.0,43.0,2,16,2,9,56,18
675,124,225,83.0,92.0,9.0,54,54,61.5,61.5,0.0,54,54,64.5,64.5,0.0,0.013070560604513427,0.013070560604513427,72.0,72.0,0.0,6,4,14,84,32,68
676,0,206,13.0,93.0,80.0,0,12,13.0,38.0,25.0,0,12,13.0,38.5,25.5,0.0,0.005582218591510943,13.0,58.0,45.0,3,2,0,68,89,25
677,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,-1,8,0,15,97,69
678,0,616,13.0,100.0,87.0,0,80,13.0,39.0,26.0,0,80,13.0,57.0,44.0,0.0,0.011130399264780965,13.5,68.0,54.5,2,12,0,2,87,14
679,0,616,12.5,100.0,87.5,0,30,12.5,39.0,26.5,0,30,12.5,47.0,34.5,0.0,0.006092787365124749,14.0,55.0,41.0,2,6,0,69,89,48
680,66,272,56.0,94.0,38.0,162,162,71.0,71.0,0.0,66,84,56.0,58.0,2.0,0.005241839409101739,0.0068075836481840775,56.0,58.0,2.0,3,12,6,2,28,54
681,40,656,48.5,100.0,51.5,96,96,54.5,54.5,0.0,40,90,48.5,60.0,11.5,0.005684332346233704,0.010517716736444398,55.0,72.0,17.0,2,7,1,46,90,47
682,2,208,27.5,90.0,62.5,10,24,27.0,30.5,3.5,2,10,27.5,35.0,7.5,6.807583648184077e-05,0.0013615167296368155,28.0,41.0,13.0,3,8,1,39,78,52
683,1,1641,26.0,100.0,74.0,6,54,26.0,48.0,22.0,1,55,26.0,57.0,31.0,3.4037918240920386e-05,0.01960584090677014,28.5,82.0,53.5,1,6,1,69,78,41
684,493,1109,99.0,100.0,1.0,272,272,100.0,100.0,0.0,272,272,100.0,100.0,0.0,0.03897341638585384,0.04135607066271827,95.0,95.0,0.0,2,8,30,42,7,70
685,47,47,54.0,54.0,0.0,94,94,52.5,52.5,0.0,47,47,54.0,54.0,0.0,0.004629156880765172,0.004629156880765172,53.0,53.0,0.0,-1,9,6,23,35,81
686,115,321,72.0,95.0,23.0,164,164,69.0,69.0,0.0,115,123,72.0,75.0,3.0,0.007216038667075122,0.008339289969025495,57.0,59.0,2.0,3,11,6,5,35,61
687,22,638,43.5,100.0,56.5,80,104,44.5,59.5,15.0,22,104,43.5,76.0,32.5,0.0028932230504782326,0.02209060893835733,49.0,83.0,34.0,2,9,2,54,75,1
688,100,100,71.5,71.5,0.0,100,100,58.5,58.5,0.0,100,100,71.5,71.5,0.0,0.030463936825623743,0.030600088498587426,90.0,90.0,0.0,5,9,14,35,32,78
689,246,862,90.0,100.0,10.0,244,244,91.5,91.5,0.0,244,244,92.5,92.5,0.0,0.019980258007420267,0.025290173253003846,78.0,86.0,8.0,2,12,18,2,5,48
690,0,206,12.5,96.0,83.5,0,8,12.5,32.5,20.0,0,8,12.5,39.0,26.5,0.0,0.004799346471969774,14.5,56.0,41.5,3,2,0,98,93,44
691,24,640,44.5,100.0,55.5,76,86,38.0,40.5,2.5,24,66,44.5,58.0,13.5,0.0014636304843595766,0.007352190340038803,39.5,65.0,25.5,2,11,4,38,64,21
692,45,251,62.0,97.0,35.0,48,48,74.0,74.0,0.0,48,48,75.0,75.0,0.0,0.009258313761530345,0.017018959120460194,69.0,77.0,8.0,3,3,5,81,25,8
693,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,0.0,-1,11,0,38,80,84
