,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
66,118,718,78.0,100.0,22.0,204,204,85.0,85.0,0.0,118,140,78.0,81.0,3.0,2,11,5,33,47,26
67,22,638,47.5,100.0,52.5,28,38,50.0,57.0,7.0,22,38,47.5,59.0,11.5,2,3,3,58,51,10
68,1,1,26.5,26.5,0.0,8,8,26.5,26.5,0.0,1,1,26.5,26.5,0.0,-1,8,2,57,58,40
69,8,624,39.5,100.0,60.5,8,18,34.5,49.5,15.0,8,18,39.5,50.5,11.0,2,2,2,99,63,44
70,6,6,35.0,35.0,0.0,12,12,41.5,41.5,0.0,6,6,35.0,35.0,0.0,-1,2,1,89,71,76
71,150,766,83.5,100.0,16.5,144,144,96.5,96.5,0.0,144,144,96.5,96.5,0.0,2,6,8,56,17,0
72,57,57,56.0,56.0,0.0,44,44,49.5,49.5,0.0,44,44,54.0,54.0,0.0,-1,4,6,83,35,92
73,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,5,0,49,99,85
74,16,16,44.0,44.0,0.0,44,44,50.5,50.5,0.0,16,16,44.0,44.0,0.0,-1,4,3,47,46,85
75,34,34,54.0,54.0,0.0,34,34,50.0,50.0,0.0,34,34,55.5,55.5,0.0,-1,4,6,77,70,45
76,16,16,37.0,37.0,0.0,40,40,32.5,32.5,0.0,16,16,37.0,37.0,0.0,-1,12,1,2,65,80
77,100,100,64.5,64.5,0.0,100,100,54.5,54.5,0.0,100,100,64.5,64.5,0.0,2,9,8,28,20,29
78,53,259,63.0,97.0,34.0,38,38,58.0,58.0,0.0,38,38,60.0,60.0,0.0,3,3,8,66,57,6
79,281,487,94.0,97.0,3.0,310,310,91.0,91.0,0.0,281,310,94.0,94.0,0.0,3,14,20,16,23,51
80,64,270,60.0,97.0,37.0,22,22,49.5,49.5,0.0,22,22,52.0,52.0,0.0,3,2,9,68,27,20
81,24,24,45.0,45.0,0.0,112,112,59.5,59.5,0.0,24,24,45.0,45.0,0.0,-1,12,3,14,54,82
82,0,616,12.5,100.0,87.5,0,28,12.5,44.5,32.0,0,28,12.5,50.0,37.5,2,3,0,82,86,37
83,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,5,0,63,81,79
84,0,206,13.0,96.0,83.0,0,14,13.0,33.5,20.5,0,8,13.0,35.5,22.5,3,3,0,75,79,61
85,32,1672,47.5,100.0,52.5,100,154,51.0,69.0,18.0,32,154,47.5,83.0,35.5,1,10,2,18,75,7
86,100,100,71.0,71.0,0.0,100,100,58.0,58.0,0.0,100,100,71.0,71.0,0.0,3,8,19,27,15,28
87,0,206,12.5,95.0,82.5,0,8,12.5,34.0,21.5,0,8,12.5,38.5,26.0,3,2,1,89,69,35
88,68,274,63.0,96.0,33.0,88,88,81.0,81.0,0.0,68,88,73.0,82.0,9.0,3,4,4,47,72,39
89,12,12,40.5,40.5,0.0,20,20,37.0,37.0,0.0,12,12,40.5,40.5,0.0,-1,4,2,47,74,69
90,132,338,89.0,100.0,11.0,72,72,89.5,89.5,0.0,72,72,89.5,89.5,0.0,3,3,14,92,14,27
91,0,616,13.0,99.0,86.0,0,76,13.0,40.5,27.5,0,59,13.0,55.0,42.0,2,11,0,19,76,33
92,183,799,90.0,100.0,10.0,144,144,96.5,96.5,0.0,144,144,96.5,96.5,0.0,2,6,15,56,19,34
93,38,38,48.0,48.0,0.0,98,98,42.0,42.0,0.0,38,38,48.0,48.0,0.0,-1,12,3,14,43,82
94,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,8,0,21,59,40
95,96,198,66.0,91.0,25.0,118,118,69.5,69.5,0.0,96,98,66.0,66.0,0.0,4,8,6,21,13,65
96,0,1640,13.0,100.0,87.0,0,114,13.0,64.0,51.0,0,114,13.0,76.5,63.5,1,10,0,11,82,6
97,144,350,89.0,100.0,11.0,56,56,86.5,86.5,0.0,56,56,87.0,87.0,0.0,3,2,18,91,5,41
98,72,278,71.0,100.0,29.0,56,56,92.0,92.0,0.0,56,56,92.0,92.0,0.0,3,2,6,93,34,6
99,0,101,13.0,73.0,60.0,0,4,13.0,25.5,12.5,0,1,13.0,25.5,12.5,6,4,1,83,69,78
100,16,632,37.5,100.0,62.5,21,44,34.5,48.5,14.0,16,44,37.5,51.5,14.0,2,4,1,67,65,11
101,16,16,37.0,37.0,0.0,84,84,41.0,41.0,0.0,16,16,37.0,37.0,0.0,-1,12,2,14,42,66
102,128,128,85.0,85.0,0.0,94,94,77.0,77.0,0.0,94,94,77.5,77.5,0.0,-1,5,9,49,39,89
103,0,206,13.0,88.5,75.5,0,48,13.0,34.5,21.5,0,48,13.0,52.0,39.0,3,8,1,15,69,12
104,166,166,88.0,88.0,0.0,198,198,87.0,87.0,0.0,166,166,88.0,88.0,0.0,-1,10,9,36,27,50
105,258,258,95.0,95.0,0.0,198,198,85.5,85.5,0.0,198,198,91.0,91.0,0.0,-1,10,16,0,12,97
106,112,1752,81.5,100.0,18.5,236,260,85.5,92.0,6.5,112,230,81.5,91.0,9.5,1,13,4,13,38,8
107,56,56,63.5,63.5,0.0,38,38,63.5,63.5,0.0,38,38,64.0,64.0,0.0,-1,3,7,60,21,82
108,0,206,12.5,92.0,79.5,0,18,12.5,39.0,26.5,0,18,12.5,48.5,36.0,3,3,0,87,99,20
109,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,9,0,54,36,45
110,1,207,26.0,90.0,64.0,8,36,26.0,33.0,7.0,1,15,26.0,35.0,9.0,3,8,2,39,58,70
111,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,-1,3,0,87,84,92
112,42,248,60.0,97.0,37.0,22,22,58.5,58.5,0.0,22,22,60.5,60.5,0.0,3,2,6,90,26,53
113,54,654,60.0,100.0,40.0,98,98,54.5,54.5,0.0,54,68,60.0,62.0,2.0,2,8,4,57,72,62
114,315,931,96.0,100.0,4.0,350,350,98.0,98.0,0.0,315,350,96.0,98.0,2.0,2,15,20,7,23,70
115,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,14,0,16,36,79
116,245,245,95.0,95.0,0.0,96,96,68.0,68.0,0.0,96,96,70.5,70.5,0.0,-1,6,29,65,0,40
117,91,297,61.0,94.0,33.0,100,100,65.0,65.0,0.0,91,100,62.0,68.0,6.0,3,6,6,40,35,53
