,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
774,8,214,575.5,977.0,401.5,20,20,682.5,682.5,0.0,0.000442492937131965,0.0011232513019503727,700.5,827.0,126.5,3,4,2,794,473,97
775,15,221,592.5,967.0,374.5,22,22,557.0,557.0,0.0,0.0002723033459273631,0.0009530617107457708,617.0,805.5,188.5,3,5,5,501,241,412
776,6,107,476.5,919.5,443.0,16,16,482.5,482.5,0.0,0.0002042275094455223,0.0002042275094455223,581.0,581.0,0.0,5,6,2,455,691,896
777,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,203.0,203.0,0.0,-1,4,3,539,753,967
778,41,143,851.0,964.5,113.5,28,28,888.0,888.0,0.0,0.0013615167296368155,0.002110350930937064,853.0,892.0,39.0,4,3,13,797,255,415
779,193,809,945.0,995.0,50.0,136,146,901.0,924.0,23.0,0.002825147213996392,0.006739507811702236,913.5,967.0,53.5,2,11,28,162,98,51
780,6,6,534.0,534.0,0.0,5,5,456.0,456.0,0.0,0.00013615167296368154,0.00013615167296368154,533.0,533.0,0.0,-1,3,4,984,315,881
781,27,233,702.0,965.0,263.0,58,58,836.0,836.0,0.0,0.0006126825283365669,0.0007488342013002485,729.5,757.5,28.0,3,6,7,473,170,697
782,111,213,914.0,961.0,47.0,106,106,952.5,952.5,0.0,0.004220701861874128,0.004322815616596889,949.0,953.0,4.0,4,7,15,320,153,697
783,0,102,166.5,869.0,702.5,0,24,166.5,346.0,179.5,0.0,6.807583648184077e-05,195.0,447.0,252.0,4,23,0,30,845,523
784,15,15,740.5,740.5,0.0,12,12,797.5,797.5,0.0,0.000442492937131965,0.000442492937131965,704.5,704.5,0.0,-1,2,6,847,192,701
785,9,110,556.5,927.5,371.0,16,16,545.0,545.0,0.0,0.00010211375472276115,0.00010211375472276115,506.0,506.0,0.0,5,4,5,504,710,558
786,289,391,964.0,980.0,16.0,404,404,979.0,979.0,0.0,0.0033016780693692774,0.0033016780693692774,935.0,935.0,0.0,4,23,20,15,95,623
787,145,351,966.0,989.0,23.0,32,32,954.5,954.5,0.0,0.0038462847612240037,0.004799346471969774,952.0,964.5,12.5,3,2,32,609,26,375
788,0,206,166.0,988.0,822.0,0,7,166.0,594.0,428.0,0.0,0.0009530617107457708,203.0,813.5,610.5,3,2,0,963,900,418
789,141,243,914.5,963.0,48.5,96,96,804.5,804.5,0.0,0.002212464685659825,0.0022465026039007454,895.0,897.5,2.5,4,11,23,360,106,677
790,228,434,951.0,979.0,28.0,240,240,953.0,953.0,0.0,0.002723033459273631,0.003199564314646516,917.5,927.0,9.5,3,16,27,117,61,418
791,6,212,496.5,974.0,477.5,11,15,490.5,561.0,70.5,0.00010211375472276115,0.0020422750944552232,508.5,892.5,384.0,3,4,1,824,463,128
792,24,125,759.5,950.0,190.5,12,12,691.5,691.5,0.0,0.0005105687736138058,0.0005105687736138058,722.0,722.0,0.0,8,2,6,907,275,626
793,149,149,954.0,954.0,0.0,38,38,897.0,897.0,0.0,0.0026549576227917903,0.0026549576227917903,913.0,913.0,0.0,-1,3,34,645,89,844
794,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,204.0,204.0,0.0,-1,2,0,429,985,995
795,0,102,166.5,923.0,756.5,0,8,166.5,448.0,281.5,0.0,0.0002042275094455223,204.0,582.5,378.5,4,4,0,631,614,381
796,0,102,166.5,914.0,747.5,0,11,166.5,429.5,263.0,0.0,0.00030634126416828345,202.5,646.0,443.5,4,6,0,764,959,167
797,9,110,546.0,922.0,376.0,26,26,652.5,652.5,0.0,0.00013615167296368154,0.00037441710065012424,523.5,670.0,146.5,5,5,3,502,291,805
798,0,102,166.5,898.5,732.0,0,9,166.5,357.5,191.0,0.0,0.0,203.5,203.5,0.0,4,8,0,499,665,464
799,8,109,516.0,905.0,389.0,15,15,433.0,433.0,0.0,0.0,0.0,201.0,201.0,0.0,5,7,2,413,298,764
800,1,207,349.0,968.5,619.5,4,12,349.5,510.0,160.5,0.0,0.0006467204465774873,208.0,761.5,553.5,3,4,4,740,595,355
801,56,157,845.5,961.0,115.5,32,32,739.5,739.5,0.0,0.0011232513019503727,0.0011232513019503727,818.5,818.5,0.0,5,5,15,421,138,899
802,5,211,435.5,969.0,533.5,7,16,419.5,579.0,159.5,0.00010211375472276115,0.001599782157323258,499.5,861.5,362.0,3,4,4,783,332,243
803,22,1662,608.5,1000.0,391.5,76,182,560.5,869.0,308.5,0.00013615167296368154,0.01232172640321318,531.0,985.0,454.0,1,17,2,39,586,30
804,72,72,919.0,919.0,0.0,12,12,762.5,762.5,0.0,0.002110350930937064,0.002110350930937064,898.0,898.0,0.0,-1,2,26,715,108,801
805,8,8,533.5,533.5,0.0,12,12,486.5,486.5,0.0,6.807583648184077e-05,6.807583648184077e-05,457.5,457.5,0.0,-1,4,2,623,576,796
806,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,205.5,205.5,0.0,-1,2,0,810,768,520
