,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
938,6,622,387,992,605,29,66,391,521,130,0.0,0.001599782157323258,1,854,853,2,4,3,16,1,42,788,66
939,81,81,881,881,0,38,38,822,822,0,0.0019741992579733825,0.0019741992579733825,891,891,0,-1,3,3,3,22,892,128,514
940,0,102,1,924,923,0,10,1,426,425,0.0,0.00013615167296368154,1,517,516,4,-1,5,5,0,534,565,167
941,6,6,433,433,0,21,21,562,562,0,6.807583648184077e-05,6.807583648184077e-05,440,440,0,-1,4,4,5,1,284,394,876
942,2,103,364,906,542,9,9,392,392,0,0.00010211375472276115,0.00010211375472276115,483,483,0,5,5,5,5,1,377,687,265
943,6,212,433,966,533,18,22,487,537,50,0.00034037918240920387,0.0005105687736138058,652,721,69,3,4,4,5,4,501,409,648
944,7,213,565,978,413,14,14,623,623,0,0.0002042275094455223,0.0024166921951053475,575,911,336,3,4,4,3,2,600,599,47
945,7,213,546,980,434,8,8,486,486,0,0.00010211375472276115,0.0002042275094455223,485,574,89,3,4,4,2,3,943,196,339
946,2,2,352,352,0,19,19,364,364,0,0.0,0.0,1,1,0,-1,5,5,16,3,78,676,569
947,1,617,333,987,654,19,92,333,567,234,0.0,0.002110350930937064,1,886,885,2,7,3,19,3,35,626,180
948,0,206,1,968,967,0,14,1,441,440,0.0,0.000442492937131965,1,684,683,3,-1,4,6,0,275,433,376
949,16,118,641,937,296,23,23,565,565,0,0.00010211375472276115,0.0002042275094455223,503,583,80,4,4,4,6,5,657,274,425
950,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,246,938,834
951,13,629,620,998,378,16,30,528,741,213,0.00010211375472276115,0.0035739814152966403,489,938,449,2,4,3,4,3,649,378,14
952,2,2,358,358,0,7,7,359,359,0,6.807583648184077e-05,6.807583648184077e-05,448,448,0,-1,5,5,6,2,98,692,889
953,0,101,1,963,962,0,2,1,332,331,0.0,0.0,1,1,0,6,-1,7,2,0,749,932,623
954,76,76,846,846,0,68,68,749,749,0,0.00088498587426393,0.00088498587426393,783,783,0,-1,3,3,8,9,411,130,783
955,8,109,551,935,384,18,18,652,652,0,0.00034037918240920387,0.00034037918240920387,655,655,0,7,4,4,3,2,729,634,469
956,0,101,1,921,920,0,3,1,331,330,0.0,3.4037918240920386e-05,1,395,394,5,-1,6,3,0,855,564,596
957,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,462,938,925
958,24,125,720,941,221,32,32,727,727,0,0.0004084550188910446,0.0004084550188910446,683,683,0,6,3,3,5,3,688,173,721
959,40,142,777,935,158,50,50,779,779,0,0.0010892133837094523,0.0011913271384322134,820,831,11,4,3,3,5,6,349,377,521
960,2,103,361,914,553,12,12,432,432,0,0.0002042275094455223,0.0002382654276864427,568,590,22,5,5,5,6,2,465,652,885
961,36,36,775,775,0,76,76,903,903,0,0.0011232513019503727,0.0011232513019503727,819,819,0,-1,3,3,6,4,515,185,201
962,0,102,1,870,869,0,25,1,368,367,0.0,0.00013615167296368154,1,506,505,4,-1,5,19,0,36,877,652
963,0,616,1,993,992,0,62,1,734,733,0.0,0.003778208924742163,1,942,941,2,-1,3,9,0,126,845,76
964,48,48,834,834,0,40,40,776,776,0,0.0009530617107457708,0.0009530617107457708,806,806,0,-1,3,3,5,9,551,242,698
965,0,102,1,918,917,0,5,1,365,364,0.0,6.807583648184077e-05,1,452,451,4,-1,5,4,0,460,624,444
966,6,108,449,930,481,10,11,463,471,8,0.00010211375472276115,0.0002723033459273631,476,599,123,4,4,4,4,1,458,537,389
967,0,101,1,912,911,0,3,1,331,330,0.0,3.4037918240920386e-05,1,403,402,5,-1,6,3,0,892,665,484
968,115,115,962,962,0,32,32,946,946,0,0.003642057251778481,0.003642057251778481,938,938,0,-1,3,3,2,32,715,26,906
969,266,266,974,974,0,144,144,949,949,0,0.005854521937438306,0.005854521937438306,965,965,0,-1,3,3,9,49,269,51,483
970,16,16,612,612,0,30,30,704,704,0,0.0002723033459273631,0.0002723033459273631,620,620,0,-1,3,3,4,1,694,394,967
971,88,88,844,844,0,176,176,935,935,0,0.0020422750944552232,0.0020422750944552232,885,885,0,-1,2,2,13,4,92,312,855
972,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,1,804,792,989
973,23,125,694,931,237,34,34,753,753,0,0.0007828721195411688,0.0009870996289866913,777,814,37,4,3,3,4,3,717,438,697
974,4,106,428,921,493,9,9,402,402,0,6.807583648184077e-05,0.0002723033459273631,451,599,148,4,5,5,5,5,656,464,262
975,0,102,1,907,906,0,6,1,373,372,0.0,0.00013615167296368154,1,514,513,4,-1,5,4,1,516,830,637
976,2,208,362,967,605,6,14,362,483,121,0.0,0.00030634126416828345,1,631,630,3,5,4,5,1,412,924,125
