,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
31,64,270,58.0,95.0,37.0,70,70,56.0,56.0,0.0,64,70,61.0,62.0,1.0,0.006977773239388679,0.011709043874876613,60.0,75.5,15.5,3,5,4,50,72,38
32,62,1702,57.0,100.0,43.0,104,128,60.0,68.0,8.0,62,128,57.0,80.0,23.0,0.002212464685659825,0.02392865652336703,44.0,83.0,39.0,1,9,4,54,64,5
33,183,389,90.0,100.0,10.0,144,144,96.5,96.5,0.0,144,144,96.5,96.5,0.0,0.017801831240001363,0.030532012662105586,79.0,91.0,12.0,3,6,15,56,19,12
34,100,100,82.5,82.5,0.0,100,100,97.5,97.5,0.0,100,100,97.5,97.5,0.0,0.053473569556485925,0.05384798665713605,99.0,99.0,0.0,4,3,3,92,46,56
35,162,162,93.0,93.0,0.0,56,56,89.0,89.0,0.0,56,56,89.0,89.0,0.0,0.027026107083290785,0.027026107083290785,89.0,89.0,0.0,-1,2,16,89,12,97
36,0,206,13.0,89.0,76.0,0,46,13.0,34.5,21.5,0,19,13.0,40.0,27.0,0.0,0.0033016780693692774,14.5,49.0,34.5,3,9,0,28,66,22
37,47,247,63.0,98.0,35.0,22,22,58.5,58.5,0.0,22,22,59.0,59.0,0.0,0.006467204465774873,0.013513053541645392,60.0,72.0,12.0,3,2,8,93,44,17
38,18,18,41.0,41.0,0.0,44,44,36.0,36.0,0.0,18,18,41.0,41.0,0.0,0.00030634126416828345,0.00030634126416828345,34.5,34.5,0.0,-1,7,2,24,56,76
39,266,368,96.0,98.0,2.0,256,256,97.0,97.0,0.0,256,256,97.0,97.0,0.0,0.024166921951053473,0.024200959869294394,85.0,85.0,0.0,4,10,16,1,18,4
40,122,738,80.0,100.0,20.0,118,128,70.5,73.5,3.0,122,128,80.0,82.0,2.0,0.011879233466081215,0.02757071377514551,72.0,88.0,16.0,2,9,8,35,8,16
