,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
618,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,203.5,203.5,0.0,-1,10,0,149,678,624
619,8,110,544.5,931.0,386.5,14,14,499.0,499.0,0.0,0.00013615167296368154,0.00013615167296368154,529.5,529.5,0.0,4,5,2,533,251,518
620,106,207,919.5,971.0,51.5,70,70,919.0,919.0,0.0,0.0029612988869600733,0.002995336805200994,920.0,920.5,0.5,5,6,16,237,78,631
621,4,620,392.0,992.0,600.0,24,102,406.5,771.5,365.0,0.0,0.006433166547533953,199.0,970.0,771.0,2,12,2,175,599,9
622,11,11,565.5,565.5,0.0,14,14,483.0,483.0,0.0,0.00010211375472276115,0.00010211375472276115,498.5,498.5,0.0,-1,5,4,701,164,927
623,33,649,729.5,994.0,264.5,50,64,627.0,726.0,99.0,0.00034037918240920387,0.0020082371762143027,652.5,886.0,233.5,2,9,7,217,176,73
624,0,102,166.5,919.5,753.0,0,4,166.5,411.0,244.5,0.0,3.4037918240920386e-05,194.0,411.5,217.5,4,2,0,893,898,628
625,33,134,776.0,936.5,160.5,28,28,774.5,774.5,0.0,0.00034037918240920387,0.00034037918240920387,659.5,659.5,0.0,5,3,7,459,329,763
626,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,15,0,32,856,228
627,42,42,724.0,724.0,0.0,116,116,706.5,706.5,0.0,0.00034037918240920387,0.00034037918240920387,646.5,646.5,0.0,-1,18,6,111,199,456
628,28,28,689.0,689.0,0.0,44,44,578.0,578.0,0.0,0.00030634126416828345,0.00030634126416828345,618.5,618.5,0.0,-1,10,7,169,237,502
629,16,16,703.5,703.5,0.0,14,14,639.5,639.5,0.0,0.000442492937131965,0.000442492937131965,699.0,699.0,0.0,-1,3,4,708,40,789
630,7,7,466.5,466.5,0.0,29,29,399.5,399.5,0.0,6.807583648184077e-05,6.807583648184077e-05,459.5,459.5,0.0,-1,16,5,151,225,882
631,217,217,963.0,963.0,0.0,76,76,902.0,902.0,0.0,0.0053099152455835805,0.0053099152455835805,957.0,957.0,0.0,-1,6,27,536,25,511
632,48,1688,801.0,1000.0,199.0,94,128,882.0,959.0,77.0,0.0008169100377820892,0.011777119711358454,767.5,983.0,215.5,1,9,7,166,329,413
633,41,41,837.5,837.5,0.0,12,12,674.0,674.0,0.0,0.0008509479560230097,0.0008509479560230097,797.5,797.5,0.0,-1,2,15,429,138,674
634,4,106,441.5,927.5,486.0,6,6,427.0,427.0,0.0,3.4037918240920386e-05,0.00030634126416828345,432.5,648.0,215.5,4,3,2,819,547,459
635,0,206,166.5,966.0,799.5,0,13,166.5,439.0,272.5,0.0,0.00010211375472276115,202.5,501.0,298.5,3,6,0,526,324,406
636,108,209,943.5,976.0,32.5,28,28,830.0,830.0,0.0,0.0018040096667687805,0.0018040096667687805,888.0,888.0,0.0,5,3,34,825,89,690
637,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,196.5,196.5,0.0,-1,9,0,192,921,675
638,18,120,709.5,946.0,236.5,14,14,641.5,641.5,0.0,0.00017018959120460194,0.0005786446100956465,571.5,738.0,166.5,4,3,5,845,182,217
639,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,197.5,197.5,0.0,-1,9,0,213,644,811
640,28,130,812.0,966.0,154.0,14,14,671.5,671.5,0.0,0.00037441710065012424,0.0008509479560230097,667.0,793.5,126.5,4,3,8,768,177,216
641,6,6,433.0,433.0,0.0,32,32,427.0,427.0,0.0,6.807583648184077e-05,6.807583648184077e-05,467.0,467.0,0.0,-1,14,1,21,481,716
642,157,363,964.5,988.0,23.5,38,38,919.5,919.5,0.0,0.003812246842983083,0.005105687736138058,942.0,959.0,17.0,3,3,48,901,56,261
643,62,268,839.0,973.0,134.0,102,102,938.5,938.5,0.0,0.002110350930937064,0.002586881786309949,897.0,919.0,22.0,3,7,3,591,382,211
644,44,250,741.5,953.0,211.5,162,162,852.5,852.5,0.0,0.0013274788113958951,0.003778208924742163,841.5,939.0,97.5,3,17,4,63,207,41
645,0,101,166.5,943.0,776.5,0,2,166.5,351.5,185.0,0.0,0.0,203.0,203.0,0.0,6,2,0,761,778,788
646,14,14,670.5,670.5,0.0,12,12,745.5,745.5,0.0,0.00030634126416828345,0.00030634126416828345,649.5,649.5,0.0,-1,2,7,906,451,974
647,11,11,660.0,660.0,0.0,8,8,662.0,662.0,0.0,0.0004084550188910446,0.0004084550188910446,701.0,701.0,0.0,-1,2,6,995,613,767
648,0,102,166.5,903.0,736.5,0,12,166.5,417.0,250.5,0.0,3.4037918240920386e-05,203.5,430.0,226.5,4,7,0,722,933,420
649,0,102,166.5,877.5,711.0,0,27,166.5,364.5,198.0,0.0,0.0,201.5,201.5,0.0,4,21,0,12,588,322
650,3,104,443.0,939.0,496.0,4,4,383.0,383.0,0.0,0.0,3.4037918240920386e-05,205.0,429.5,224.5,5,3,5,564,605,231
651,2,103,431.5,960.0,528.5,4,4,521.0,521.0,0.0,0.00010211375472276115,0.00013615167296368154,517.5,548.0,30.5,5,2,1,847,809,756
652,0,102,166.5,937.0,770.5,0,4,166.5,391.0,224.5,0.0,0.0002042275094455223,203.5,596.0,392.5,4,3,0,899,668,452
653,6,108,485.0,930.5,445.5,20,20,642.0,642.0,0.0,0.00013615167296368154,0.0005786446100956465,516.5,734.5,218.0,4,4,1,458,394,97
654,22,228,638.5,958.0,319.5,70,70,755.5,755.5,0.0,0.0008509479560230097,0.0010892133837094523,786.0,811.0,25.0,3,9,3,277,209,176
